Time of Day	Process Name	PID	Operation	Path	Result	Detail
"15:52:11,0066483"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	Desired Access: All Access
"15:52:11,0066692"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Properties	NAME NOT FOUND	Desired Access: Query Value
"15:52:11,0070934"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	
"15:52:11,0071405"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	Desired Access: Query Value
"15:52:11,0071601"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Properties	NAME NOT FOUND	Desired Access: Query Value
"15:52:11,0071777"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	
"15:52:11,0088822"	AUDIODG.EXE	18480	Thread Create		SUCCESS	Thread ID: 612
"15:52:11,0097345"	svchost.exe	1972	RegOpenKey	HKLM	SUCCESS	"Desired Access: Maximum Allowed, Granted Access: Read"
"15:52:11,0097602"	svchost.exe	1972	RegQueryKey	HKLM	SUCCESS	"Query: HandleTags, HandleTags: 0x0"
"15:52:11,0097854"	svchost.exe	1972	RegOpenKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}	SUCCESS	Desired Access: Read
"15:52:11,0098089"	svchost.exe	1972	RegSetInfoKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}	SUCCESS	"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:52:11,0098243"	svchost.exe	1972	RegCloseKey	HKLM	SUCCESS	
"15:52:11,0098393"	svchost.exe	1972	RegCloseKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}	SUCCESS	
"15:52:11,0098649"	svchost.exe	1972	RegOpenKey	HKLM	SUCCESS	"Desired Access: Maximum Allowed, Granted Access: Read"
"15:52:11,0098799"	svchost.exe	1972	RegQueryKey	HKLM	SUCCESS	"Query: HandleTags, HandleTags: 0x0"
"15:52:11,0099064"	svchost.exe	1972	RegOpenKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}\Properties	SUCCESS	Desired Access: Read
"15:52:11,0099244"	svchost.exe	1972	RegSetInfoKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}\Properties	SUCCESS	"KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"15:52:11,0099363"	svchost.exe	1972	RegCloseKey	HKLM	SUCCESS	
"15:52:11,0099535"	svchost.exe	1972	RegQueryValue	"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}\Properties\{9c119480-ddc2-4954-a150-5bd240d454ad},3"	NAME NOT FOUND	Length: 144
"15:52:11,0099710"	svchost.exe	1972	RegCloseKey	HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}\Properties	SUCCESS	
"15:52:11,0099872"	svchost.exe	1972	RegQueryValue	"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}\Properties\{194ef948-7cdb-403e-9f47-19418f7b24fd},1"	SUCCESS	"Type: REG_BINARY, Length: 16, Data: 15 00 01 00 01 00 00 00 DB FA F1 19 00 00 00 00"
"15:52:11,0100056"	svchost.exe	1972	RegQueryValue	"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{22681d7d-8950-4d68-913d-4c69854d0cc5}\Properties\{194ef948-7cdb-403e-9f47-19418f7b24fd},1"	SUCCESS	"Type: REG_BINARY, Length: 16, Data: 15 00 01 00 01 00 00 00 DB FA F1 19 00 00 00 00"
"15:52:11,1615165"	LMS.exe	3268	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{e2d1ff34-3458-49a9-88da-8e6915ce9be5}	SUCCESS	Desired Access: All Access
"15:52:11,1615554"	LMS.exe	3268	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{e2d1ff34-3458-49a9-88da-8e6915ce9be5}\Properties	NAME NOT FOUND	Desired Access: Query Value
"15:52:11,1615956"	LMS.exe	3268	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{e2d1ff34-3458-49a9-88da-8e6915ce9be5}	SUCCESS	
"15:52:11,1616328"	LMS.exe	3268	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{e2d1ff34-3458-49a9-88da-8e6915ce9be5}	SUCCESS	Desired Access: Query Value
"15:52:11,1616517"	LMS.exe	3268	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{e2d1ff34-3458-49a9-88da-8e6915ce9be5}\Properties	NAME NOT FOUND	Desired Access: Query Value
"15:52:11,1616683"	LMS.exe	3268	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{e2d1ff34-3458-49a9-88da-8e6915ce9be5}	SUCCESS	
"15:52:11,3566240"	uTorrent.exe	5952	Thread Create		SUCCESS	Thread ID: 10196
"15:52:11,3569114"	uTorrent.exe	5952	Thread Exit		SUCCESS	"Thread ID: 10196, User Time: 0.0000000, Kernel Time: 0.0000000"
